timestamp,DL_bitrate
1381.0,5028
1382.0,7032
1383.0,3170
1384.0,3016
1386.0,2301
1387.0,2301
1388.0,3
1389.0,1072
1390.0,4354
1391.0,14554
1392.0,21729
1393.0,36658
1395.0,50388
1396.0,48309
1397.0,59853
1397.0,59853
1398.0,56333
1400.0,8458
1401.0,8458
1401.0,182
1403.0,4145
1404.0,6980
1405.0,4781
1406.0,28339
1407.0,30931
1408.0,12770
1409.0,22458
1410.0,77198
1412.0,73082
1413.0,69022
1414.0,34740
1415.0,2
1415.0,2
1416.0,2
1416.0,16783
1417.0,23219
1418.0,23368
1420.0,23469
1421.0,22393
1422.0,23367
1423.0,20924
1424.0,22946
1425.0,22324
1426.0,24218
1427.0,37910
1428.0,37910
1429.0,0
1429.0,0
1430.0,12542
1431.0,24334
1432.0,24409
1433.0,23930
1434.0,23256
1435.0,23350
1436.0,23065
1438.0,30870
1439.0,225764
1440.0,232756
1442.0,53256
1443.0,53256
1443.0,114
1444.0,30506
1445.0,25374
1446.0,26184
1448.0,50215
1449.0,261063
1449.0,261063
1450.0,340018
1451.0,321715
1452.0,315719
1453.0,260535
1454.0,12790
1455.0,73653
1456.0,1
1457.0,1
1458.0,77492
1459.0,136448
1460.0,145071
1460.0,145071
1461.0,127495
1462.0,180320
1463.0,159707
1464.0,146065
1465.0,138252
1466.0,159156
1468.0,157603
1470.0,20048
1471.0,20048
1471.0,1013
1472.0,20994
1473.0,22007
1474.0,22330
1475.0,21499
1476.0,21499
1477.0,19904
1478.0,24204
1479.0,135237
1480.0,49468
1481.0,111
1482.0,16770
1483.0,35805
1484.0,1
1484.0,1
1485.0,1
1485.0,6146
1487.0,6840
1488.0,3132
1489.0,15640
1490.0,12503
1491.0,11
1492.0,11
1493.0,11
1494.0,0
1495.0,0
1496.0,0
1497.0,0
1498.0,0
1499.0,0
1499.0,1
1500.0,1
1500.0,615
1501.0,712
1502.0,377
1503.0,8412
1505.0,13575
1506.0,18465
1507.0,11908
1508.0,11
1509.0,11
1510.0,11
1511.0,0
1513.0,0
1513.0,0
1514.0,0
1515.0,11
1516.0,0
1518.0,1
1518.0,0
1519.0,33
1520.0,2160
1521.0,9302
1523.0,5501
1524.0,11815
1526.0,2491
1527.0,2491
1527.0,113
1528.0,113
1528.0,15961
1529.0,18690
1530.0,17939
1531.0,19327
1533.0,17843
1534.0,19634
1535.0,19733
1536.0,19976
1537.0,19516
1538.0,17557
1539.0,11648
1540.0,2
1541.0,2
1542.0,16478
1543.0,22084
1544.0,22057
1545.0,23131
1546.0,22129
1547.0,23723
1548.0,22064
1550.0,22168
1551.0,22450
1552.0,21966
1553.0,19804
1554.0,1
1555.0,1
1555.0,10542
1556.0,30655
1557.0,29083
1559.0,31688
1560.0,198563
1561.0,197369
1562.0,217508
1563.0,201350
1564.0,202537
1565.0,168496
1566.0,193346
1567.0,64524
1568.0,64524
1568.0,2
1570.0,15652
1571.0,20016
1572.0,21423
1573.0,33272
1574.0,74270
1575.0,75144
1576.0,72745
1578.0,73849
1579.0,76059
1580.0,77786
1581.0,44447
1582.0,2
1582.0,2
1583.0,19468
1584.0,29312
1585.0,28629
1587.0,28451
1588.0,28881
1589.0,30300
1590.0,27743
1591.0,63044
1592.0,163223
1595.0,138022
1596.0,1
1596.0,1
1597.0,13644
1598.0,22978
1599.0,21635
1600.0,129847
1602.0,190621
1603.0,204345
1604.0,200758
1605.0,205652
1606.0,163941
1607.0,179363
1608.0,186897
1608.0,186897
1609.0,7965
1610.0,7965
1610.0,2383
1611.0,26830
1613.0,28247
1614.0,29606
1615.0,143658
1616.0,115460
1617.0,115460
1617.0,8968
1618.0,27576
1619.0,23846
1620.0,21372
1621.0,19091
1623.0,20735
1624.0,1
1624.0,1
1625.0,5218
1626.0,2666
1627.0,295
1628.0,295
1628.0,254
1629.0,510
1630.0,99
1632.0,0
1633.0,11
1634.0,7477
1635.0,11490
1636.0,22284
1637.0,0
1638.0,0
1638.0,1915
1639.0,7336
1641.0,10400
1642.0,10791
1643.0,10939
1644.0,11235
1645.0,10051
1646.0,10465
1647.0,11192
1649.0,7546
1651.0,1958
1652.0,1958
1652.0,216
1653.0,6253
1654.0,5451
1655.0,15129
1656.0,15129
1656.0,25746
1658.0,35271
1659.0,38904
